policy,country,status,explanation,source
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Indonesia,NO,"Indonesia does not directly accept the ICH CTD format for innovator pharmaceutical product registrations; instead, it requires submission of the ASEAN Common Technical Document (ACTD) format, which is derived from the ICH CTD but has its own regional modifications and country-specific requirements[1][2].","https://journalforclinicalstudies.com/wp-content/uploads/2015/02/09.-Comparison-of-Marketing-Authorisation.pdf,https://international-pharma.com/wp-content/uploads/2017/04/Comparison-of.pdf,https://ijprajournal.com/issue_dcp/A%20Review%20Article%20on%20the%20Common%20Technical%20Document%20CTD%20Regulatory%20Dossier.pdf,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-guideline-m4-r4-common-technical-document-ctd-registration-pharmaceuticals-human-use-organisation-ctd-step-5_en.pdf,https://www.ijpcbs.com/articles/comparative-study-of-regulatory-requirementsfor-the-compilation-and-approval-of-dossieras-per-ctd-actd-and-ectd-formats.pdf"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Indonesia,YES,"Indonesia provides a fully digital online submission portal for pharmaceutical product marketing authorization applications through the BPOM e-Registration system. Applicants must use this online portal to submit applications and supporting documents when seeking marketing authorization for pharmaceutical products[2]. The process is digital from submission through review by the national regulatory authority (BPOM), and various pathways (100-, 120-, or 300-day review) are available depending on product type and urgency[2].","https://www.tilleke.com/insights/indonesia-updates-its-drug-advertising-guidelines/53/,https://clinchoice.co.jp/en/indonesia-regulatory-watch-a-primer-on-drug-registration-in-indonesia-august-2025/,https://baipharm.chemlinked.com/insights/indonesia-drug-registration-pathway,https://www.tilleke.com/insights/indonesia-updates-its-drug-advertising-guidelines/27/,https://credevo.com/articles/2021/05/25/drug-registration-process-in-indonesia/"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Indonesia,YES,"Indonesia is legally required to accept and recognize another ASEAN Member State’s Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers, provided the certification or inspection is conducted by an ASEAN Listed Inspection Service (LIS) as designated under the ASEAN Mutual Recognition Arrangement (MRA) on GMP Inspection. Article 8 of the MRA obliges all ASEAN Member States—including Indonesia—to accept GMP Certificates and/or inspection reports from qualified ASEAN LIS, as long as the GMP framework is equivalent to the Pharmaceutical Inspection Co-operation Scheme (PICS)[3].","https://certease.com/gmp-certification-in-indonesia/,https://asean.org/wp-content/uploads/images/2013/economic/iai/ASEAN%20Cosmetics%20Directive%20CLMV%20Workshop%20Feb%202013.pdf,https://globalforum.diaglobal.org/issue/march-2021/harmonization-of-gmp-inspection-and-benefits-to-asean-economic-community/,https://www.ncbi.nlm.nih.gov/books/NBK555744/,https://insightof.id/frequently-asked-questions-good-manufacturing-practice-gmp-certificate-for-cosmetics/"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Indonesia,PARTIAL,"Indonesia's BPOM generally requires stability data for pharmaceuticals at long-term conditions of either 25°C/60% RH or 30°C/65% RH, in line with ICH and ASEAN standards[4][5]. Accelerated studies (typically at 40°C/75% RH) can support submissions, but if only accelerated data are provided without 12 months long-term data at 25°C/60% RH, this is typically not accepted for full shelf-life assignment under standard pharmaceutical guidelines—unless a 'scientific justification' is provided and accepted by BPOM for products tested under different conditions[1]. Therefore, accelerated studies alone are not sufficient; long-term real-time data at 25°C/60% RH or equivalent are required for registration, but accelerated data may be used to justify shelf life in special cases, subject to regulatory acceptance.","https://www.permitindo.com/news/bpom-health-supplement-stability-testing,https://www.rsc.org/suppdata/c5/ra/c5ra07716h/c5ra07716h1.pdf,https://foodcomplianceinternational.com/industry-insight/news/5384-bpom-issues-guidelines-for-stability-testing-of-health-supplements,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-q-1-r2-stability-testing-new-drug-substances-and-products-step-5_en.pdf,https://humiditycontrol.com/blog/what-is-stability-testing/"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Indonesia,YES,"Indonesia allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing. The latest BPOM Regulation No. 6 of 2025 aligns Indonesia’s requirements with the ASEAN Guideline on Stability Study and Shelf Life of Health Supplements, which explicitly states that reduced designs such as bracketing and matrixing can be applied to stability testing when scientifically justified[1][2][3][5]. Thus, these approaches are permissible for both health supplements and, by alignment with ASEAN guidelines, for pharmaceutical products, provided proper scientific reasoning and documentation are provided.","https://www.permitindo.com/news/bpom-health-supplement-stability-testing,https://asean.org/wp-content/uploads/2017/09/ASEAN-Guidelines-on-Stability-and-Shelf-Life-TM-V1.0-with-disclaimer.pdf,https://foodcomplianceinternational.com/industry-insight/news/5384-bpom-issues-guidelines-for-stability-testing-of-health-supplements,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/q1d-bracketing-and-matrixing-designs-stability-testing-new-drug-substances-and-products,https://food.chemlinked.com/database/view/5830"
Requires halal certification for pharmaceutical products.,Indonesia,YES,"Indonesia requires halal certification for pharmaceutical products such as medicines, supplements, and traditional remedies under its Halal Product Assurance Law[2][3]. Over-the-Counter (OTC) drugs and limited OTC drugs must also be registered for halal certification, with a compliance timeline extending until October 17, 2029 for certain categories[1][3]. The regulations mandate halal certification for these products unless they contain prohibited (haram) ingredients, in which case they must be clearly labeled as non-halal[5].","https://emerhub.com/indonesia/halal-certification-in-indonesia/,https://emerhub.com/indonesia/understanding-the-process-and-requirements-of-indonesia-halal-certification/,https://indonesia.incorp.asia/blogs/halal-certification-procedure-2025/,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Indonesia+Confirms+Extension+for+Mandatory+Halal+Certification+for+Imported+Food+and+Beverage+Products+and+Annulment+of+Apostille+Requirement_Jakarta_Indonesia_ID2024-0039,https://andamanmed.com/indonesia-implementation-of-halal-product-assurance-for-medical-devices-circulating-in-indonesia/"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Indonesia,NO,"Indonesia specifically mandates the use of a **red circle with the letter “K”** (not a plain 'red dot') on prescription-only pharmaceutical products, signifying 'Obat Keras' or prescription drugs[1]. The symbol for narcotic drugs is a red circle with 'N.' There is no regulatory reference requiring a simple 'red dot' symbol for prescription products in Indonesia[1].","https://www.artixio.com/post/nadfc-bpom-regulation-of-pharmaceuticals-in-indonesia,http://www.tsmia.or.th/RTD2022/Self-CARER_e-book_final.pdf,https://www.visiott.com/blog/indonesia-pharmaceutical-track-and-trace-regulation/,https://core.ac.uk/download/pdf/159073290.pdf,https://www.freyrsolutions.com/blog/understanding-indonesias-new-labeling-regulations-for-natural-medicines-and-health-supplements"
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Indonesia,PARTIAL,"Indonesia does target an average MA approval timeline of six months (approximately 130 working days) or less, but only for specific categories of drugs. For most pharmaceutical products:

- **Priority drugs** (including orphan, pandemic, and public health drugs) and urgent products have approval timelines of **less than 150 working days** (about 6-7 months) and in some cases even below 100 working days (about 5 months)[5][3].
- **Generic drugs requiring bioequivalence data**: up to **150 working days** (about 7 months)[5][3].
- **New chemical entities, biologics, or innovative drugs**: up to **300 working days** (over 13 months)[5][3][1].

While select urgent and priority categories align with a six-month or less target, standard new drug applications typically exceed this timeframe, indicating six months or less is not the universal standard target for all pharmaceutical products in Indonesia.","https://www.pacificbridgemedical.com/publication/indonesias-national-agency-of-drug-and-food-control-bpom/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9734413/,https://credevo.com/articles/2021/05/25/drug-registration-process-in-indonesia/,https://www.raps.org/news-and-articles/news-articles/2018/1/the-drug-regulatory-landscape-in-the-asean-region,https://www.artixio.com/post/nadfc-bpom-regulation-of-pharmaceuticals-in-indonesia"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Indonesia,NO,"Indonesia does not impose hospital-only distribution restrictions for specific classes of antimicrobial pharmaceutical products. Evidence from multiple sources indicates that antibiotics and other antimicrobials are widely available outside hospitals, including through community pharmacies, drug stores, and even informal vendors, with over-the-counter sales, self-medication, and widespread non-prescription access documented[2][1]. There is no indication in the available literature or health system reviews that any antimicrobial class is subject to a hospital-only distribution policy or regulatory restriction; antibiotics are dispensed by a variety of providers and channels across both hospital and community settings[2][1][4].","https://pmc.ncbi.nlm.nih.gov/articles/PMC10305907/,https://pmc.ncbi.nlm.nih.gov/articles/PMC2914770/,https://etflin.com/article/198,https://iris.who.int/bitstream/handle/10665/254716/9789290225164-eng.pdf,https://onehealthtrust.org/wp-content/uploads/2019/04/AccessBarrierstoAntibiotics_CDDEP_FINAL.pdf"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Indonesia,YES,"Indonesia publishes national antimicrobial resistance (AMR) surveillance data. In February 2025, the Ministry of Health launched the country's first national AMR survey on bloodstream infections, covering 80 hospitals and 30 laboratories, with results coordinated with the WHO[1]. Indonesia also conducts monitoring and evaluation of its National Action Plan for AMR (NAP AMR) and publicly reports on these results, as demonstrated by the evaluation releases in September 2024[3][5]. The surveillance systems focus primarily on the prevalence of AMR in pathogens and related health outcomes, but while these reports are linked to the impact of pharmaceutical products (antimicrobials), the published surveillance data is generally focused on resistance patterns rather than surveillance of the pharmaceutical products themselves.","https://www.who.int/indonesia/news/detail/13-02-2025-indonesia-launches-groundbreaking-national-amr-survey-on-bloodstream-infections,https://www.who.int/about/accountability/results/who-results-report-2020-mtr/country-story/2020/indonisia-amr,https://www.fao.org/indonesia/news/detail/evaluation-of-the-2020-2024-nap-amr--positive-results-in-antimicrobial-resistance-control/en,https://www.flemingfund.org/app/uploads/59f148b0482cda160087e29b9a5a21a0.pdf,https://www.who.int/indonesia/news/detail/03-09-2024-evaluation-of-ran-pra-2020-2024--control-of-antimicrobial-resistance-achieves-positive-results"
